node1,node2,similarity
62-53-3,1038916-11-8,0.071
62-53-3,952479-96-8,0.067
62-53-3,1038915-75-1,0.068
62-53-3,1038915-92-2,0.071
62-53-3,1038915-90-0,0.057
62-53-3,1038916-08-3,0.071
62-53-3,952480-01-2,0.038
62-53-3,952474-39-4,0.157
62-53-3,1038915-99-9,0.055
62-53-3,952479-98-0,0.093
62-53-3,952479-62-8,0.125
62-53-3,952479-61-7,0.119
62-53-3,1038916-05-0,0.055
62-53-3,1038915-58-0,0.068
62-53-3,952479-97-9,0.04
62-53-3,952480-02-3,0.062
62-53-3,952475-51-3,0.067
62-53-3,952480-00-1,0.043
62-53-3,952479-99-1,0.045
62-53-3,1038916-13-0,0.064
62-53-3,1038916-03-8,0.054
62-53-3,1038916-01-6,0.042
62-53-3,1038915-94-4,0.085
62-53-3,1038915-86-4,0.049
62-53-3,1038915-84-2,0.049
62-53-3,1038915-82-0,0.053
62-53-3,1038915-80-8,0.053
62-53-3,1038915-70-6,0.049
62-53-3,1038915-67-1,0.053
62-53-3,1038915-64-8,0.068
62-53-3,1038915-73-9,0.056
62-53-3,1038915-56-8,0.068
62-53-3,1038915-62-6,0.068
62-53-3,1038915-76-2,0.076
62-53-3,1038915-71-7,0.058
62-53-3,1038915-68-2,0.062
74-88-4,76-05-1,0.0
74-88-4,104-15-4,0.042
74-88-4,501-53-1,0.0
74-88-4,1692-25-7,0.0
74-88-4,460-00-4,0.0
74-88-4,1038915-60-4,0.0
74-88-4,5437-38-7,0.03
74-88-4,5471-82-9,0.026
74-88-4,518070-19-4,0.034
74-88-4,138229-59-1,0.024
74-88-4,875798-79-1,0.019
74-88-4,132874-06-7,0.023
74-88-4,1171197-20-8,0.019
74-88-4,1038916-11-8,0.013
74-88-4,952479-96-8,0.027
74-88-4,1038915-75-1,0.0
74-88-4,1038915-92-2,0.013
74-88-4,1038915-90-0,0.012
74-88-4,1038916-08-3,0.013
74-88-4,952480-01-2,0.023
74-88-4,952474-39-4,0.0
74-88-4,1038915-99-9,0.012
74-88-4,952479-98-0,0.028
74-88-4,952479-62-8,0.019
74-88-4,952479-61-7,0.018
74-88-4,1038916-05-0,0.012
74-88-4,1038915-58-0,0.0
74-88-4,952479-97-9,0.024
74-88-4,952480-02-3,0.0
74-88-4,952475-51-3,0.0
74-88-4,952480-00-1,0.056
74-88-4,952479-99-1,0.059
74-88-4,1038916-13-0,0.0
74-88-4,1038916-03-8,0.012
74-88-4,1038916-01-6,0.011
74-88-4,1038915-94-4,0.0
74-88-4,1038915-86-4,0.0
