node1,node2,similarity
107-13-1,120685-13-4,0.0
107-13-1,120685-12-3,0.009
107-13-1,120685-22-5,0.0
107-13-1,120685-15-6,0.0
107-13-1,120685-44-1,0.0
107-13-1,120685-16-7,0.0
107-13-1,120685-14-5,0.0
107-13-1,120685-45-2,0.0
107-13-1,120685-33-8,0.0
107-13-1,120685-27-0,0.0
107-13-1,120685-21-4,0.0
107-13-1,120685-47-4,0.0
107-13-1,120685-46-3,0.0
107-13-1,120685-39-4,0.026
107-13-1,120685-38-3,0.0
107-13-1,120685-37-2,0.0
107-13-1,120685-24-7,0.0
107-13-1,120685-50-9,0.01
107-13-1,120685-43-0,0.0
107-13-1,120685-42-9,0.0
107-13-1,120685-41-8,0.0
107-13-1,120685-35-0,0.0
107-13-1,120685-32-7,0.028
107-13-1,120685-29-2,0.0
107-13-1,120685-49-6,0.0
107-13-1,120685-48-5,0.0
107-13-1,120685-40-7,0.0
107-13-1,120685-36-1,0.0
107-13-1,120685-34-9,0.0
107-13-1,120685-31-6,0.0
107-13-1,120685-30-5,0.0
107-13-1,120685-25-8,0.029
107-13-1,120685-23-6,0.0
107-13-1,120685-19-0,0.0
107-13-1,120751-44-2,0.0
107-13-1,120685-26-9,0.0
107-13-1,120685-28-1,0.0
100-39-0,24424-99-5,0.0
100-39-0,106-95-6,0.13
100-39-0,75-56-9,0.0
100-39-0,407-25-0,0.0
100-39-0,122-04-3,0.075
100-39-0,4530-20-5,0.049
100-39-0,100-07-2,0.077
100-39-0,96-32-2,0.103
100-39-0,62996-74-1,0.05
100-39-0,122-01-0,0.086
100-39-0,1885-14-9,0.206
100-39-0,57-06-7,0.03
100-39-0,403-43-0,0.083
100-39-0,609-65-4,0.143
100-39-0,618-46-2,0.105
100-39-0,99-33-2,0.049
100-39-0,121-90-4,0.089
100-39-0,1436-34-6,0.028
100-39-0,5445-17-0,0.031
100-39-0,1711-07-5,0.103
100-39-0,120685-11-2,0.063
100-39-0,7377-26-6,0.075
100-39-0,2404-44-6,0.024
100-39-0,3234-28-4,0.024
100-39-0,84468-15-5,0.078
100-39-0,120685-17-8,0.044
100-39-0,120685-10-1,0.062
100-39-0,120685-20-3,0.055
100-39-0,120685-18-9,0.042
100-39-0,120685-13-4,0.045
100-39-0,120685-12-3,0.045
100-39-0,120685-22-5,0.065
100-39-0,120685-15-6,0.04
100-39-0,120685-44-1,0.043
100-39-0,120685-16-7,0.042
100-39-0,120685-14-5,0.061
100-39-0,120685-45-2,0.044
100-39-0,120685-33-8,0.047
100-39-0,120685-27-0,0.058
100-39-0,120685-21-4,0.056
100-39-0,120685-47-4,0.043
100-39-0,120685-46-3,0.042
100-39-0,120685-39-4,0.059
100-39-0,120685-38-3,0.046
100-39-0,120685-37-2,0.061
100-39-0,120685-24-7,0.104
100-39-0,120685-50-9,0.066
100-39-0,120685-43-0,0.043
100-39-0,120685-42-9,0.043
100-39-0,120685-41-8,0.042
100-39-0,120685-35-0,0.048
100-39-0,120685-32-7,0.054
100-39-0,120685-29-2,0.051
100-39-0,120685-49-6,0.055
100-39-0,120685-48-5,0.063
100-39-0,120685-40-7,0.045
100-39-0,120685-36-1,0.043
100-39-0,120685-34-9,0.039
100-39-0,120685-31-6,0.049
100-39-0,120685-30-5,0.049
100-39-0,120685-25-8,0.056
100-39-0,120685-23-6,0.045
100-39-0,120685-19-0,0.042
100-39-0,120751-44-2,0.052
100-39-0,120685-26-9,0.05
100-39-0,120685-28-1,0.058
24424-99-5,106-95-6,0.0
24424-99-5,75-56-9,0.08
24424-99-5,407-25-0,0.222
24424-99-5,122-04-3,0.073
24424-99-5,4530-20-5,0.294
24424-99-5,100-07-2,0.132
24424-99-5,96-32-2,0.179
24424-99-5,62996-74-1,0.039
24424-99-5,122-01-0,0.083
24424-99-5,1885-14-9,0.105
24424-99-5,57-06-7,0.0
24424-99-5,403-43-0,0.081
24424-99-5,609-65-4,0.108
24424-99-5,618-46-2,0.075
24424-99-5,99-33-2,0.073
24424-99-5,121-90-4,0.064
24424-99-5,1436-34-6,0.056
24424-99-5,5445-17-0,0.172
24424-99-5,1711-07-5,0.073
24424-99-5,120685-11-2,0.053
24424-99-5,7377-26-6,0.128
24424-99-5,2404-44-6,0.048
24424-99-5,3234-28-4,0.048
24424-99-5,84468-15-5,0.037
24424-99-5,120685-17-8,0.102
24424-99-5,120685-10-1,0.052
24424-99-5,120685-20-3,0.064
24424-99-5,120685-18-9,0.05
24424-99-5,120685-13-4,0.045
24424-99-5,120685-12-3,0.064
24424-99-5,120685-22-5,0.055
24424-99-5,120685-15-6,0.048
24424-99-5,120685-44-1,0.052
24424-99-5,120685-16-7,0.05
24424-99-5,120685-14-5,0.051
24424-99-5,120685-45-2,0.053
24424-99-5,120685-33-8,0.057
24424-99-5,120685-27-0,0.038
24424-99-5,120685-21-4,0.055
24424-99-5,120685-47-4,0.051
24424-99-5,120685-46-3,0.05
24424-99-5,120685-39-4,0.041
24424-99-5,120685-38-3,0.056
24424-99-5,120685-37-2,0.051
24424-99-5,120685-24-7,0.035
24424-99-5,120685-50-9,0.036
24424-99-5,120685-43-0,0.052
24424-99-5,120685-42-9,0.051
24424-99-5,120685-41-8,0.05
24424-99-5,120685-35-0,0.037
24424-99-5,120685-32-7,0.035
24424-99-5,120685-29-2,0.042
24424-99-5,120685-49-6,0.045
24424-99-5,120685-48-5,0.044
24424-99-5,120685-40-7,0.064
24424-99-5,120685-36-1,0.034
24424-99-5,120685-34-9,0.038
24424-99-5,120685-31-6,0.04
24424-99-5,120685-30-5,0.04
24424-99-5,120685-25-8,0.045
24424-99-5,120685-23-6,0.054
24424-99-5,120685-19-0,0.096
24424-99-5,120751-44-2,0.052
24424-99-5,120685-26-9,0.039
24424-99-5,120685-28-1,0.037
106-95-6,75-56-9,0.0
106-95-6,407-25-0,0.0
106-95-6,122-04-3,0.0
106-95-6,4530-20-5,0.061
106-95-6,100-07-2,0.0
106-95-6,96-32-2,0.143
106-95-6,62996-74-1,0.01
106-95-6,122-01-0,0.0
106-95-6,1885-14-9,0.0
106-95-6,57-06-7,0.238
106-95-6,403-43-0,0.0
106-95-6,609-65-4,0.0
106-95-6,618-46-2,0.0
106-95-6,99-33-2,0.0
106-95-6,121-90-4,0.0
106-95-6,1436-34-6,0.036
106-95-6,5445-17-0,0.042
106-95-6,1711-07-5,0.0
106-95-6,120685-11-2,0.0
106-95-6,7377-26-6,0.0
106-95-6,2404-44-6,0.029
106-95-6,3234-28-4,0.029
106-95-6,84468-15-5,0.0
106-95-6,120685-17-8,0.0
106-95-6,120685-10-1,0.009
106-95-6,120685-20-3,0.009
106-95-6,120685-18-9,0.0
106-95-6,120685-13-4,0.0
106-95-6,120685-12-3,0.0
106-95-6,120685-22-5,0.009
106-95-6,120685-15-6,0.0
106-95-6,120685-44-1,0.0
106-95-6,120685-16-7,0.0
106-95-6,120685-14-5,0.0
106-95-6,120685-45-2,0.0
106-95-6,120685-33-8,0.0
106-95-6,120685-27-0,0.01
106-95-6,120685-21-4,0.01
106-95-6,120685-47-4,0.0
106-95-6,120685-46-3,0.0
106-95-6,120685-39-4,0.045
106-95-6,120685-38-3,0.0
106-95-6,120685-37-2,0.0
106-95-6,120685-24-7,0.009
106-95-6,120685-50-9,0.01
106-95-6,120685-43-0,0.0
106-95-6,120685-42-9,0.0
106-95-6,120685-41-8,0.0
106-95-6,120685-35-0,0.0
106-95-6,120685-32-7,0.009
106-95-6,120685-29-2,0.009
106-95-6,120685-49-6,0.009
106-95-6,120685-48-5,0.0
106-95-6,120685-40-7,0.0
106-95-6,120685-36-1,0.0
106-95-6,120685-34-9,0.0
106-95-6,120685-31-6,0.008
106-95-6,120685-30-5,0.008
106-95-6,120685-25-8,0.05
106-95-6,120685-23-6,0.0
106-95-6,120685-19-0,0.0
106-95-6,120751-44-2,0.0
106-95-6,120685-26-9,0.0
106-95-6,120685-28-1,0.01
75-56-9,407-25-0,0.0
75-56-9,122-04-3,0.0
75-56-9,4530-20-5,0.029
75-56-9,100-07-2,0.03
75-56-9,96-32-2,0.043
75-56-9,62996-74-1,0.043
75-56-9,122-01-0,0.034
75-56-9,1885-14-9,0.0
75-56-9,57-06-7,0.0
75-56-9,403-43-0,0.0
75-56-9,609-65-4,0.0
75-56-9,618-46-2,0.03
75-56-9,99-33-2,0.0
75-56-9,121-90-4,0.0
75-56-9,1436-34-6,0.261
75-56-9,5445-17-0,0.042
75-56-9,1711-07-5,0.0
75-56-9,120685-11-2,0.038
75-56-9,7377-26-6,0.029
75-56-9,2404-44-6,0.207
75-56-9,3234-28-4,0.207
75-56-9,84468-15-5,0.0
75-56-9,120685-17-8,0.038
75-56-9,120685-10-1,0.037
75-56-9,120685-20-3,0.038
75-56-9,120685-18-9,0.035
75-56-9,120685-13-4,0.038
75-56-9,120685-12-3,0.038
75-56-9,120685-22-5,0.039
75-56-9,120685-15-6,0.034
75-56-9,120685-44-1,0.037
75-56-9,120685-16-7,0.035
75-56-9,120685-14-5,0.036
75-56-9,120685-45-2,0.047
75-56-9,120685-33-8,0.04
75-56-9,120685-27-0,0.041
75-56-9,120685-21-4,0.039
75-56-9,120685-47-4,0.036
75-56-9,120685-46-3,0.036
75-56-9,120685-39-4,0.035
75-56-9,120685-38-3,0.04
75-56-9,120685-37-2,0.036
75-56-9,120685-24-7,0.038
75-56-9,120685-50-9,0.04
75-56-9,120685-43-0,0.037
