node1,node2,similarity
64-17-5,283173-22-8,0.018
67-56-1,630-08-0,0.0
67-56-1,62-53-3,0.0
67-56-1,68-12-2,0.091
67-56-1,74-88-4,0.2
67-56-1,110-89-4,0.0
67-56-1,110-91-8,0.0
67-56-1,98-88-4,0.048
67-56-1,74-89-5,0.2
67-56-1,75-36-5,0.222
67-56-1,124-40-3,0.167
67-56-1,111-87-5,0.105
67-56-1,98-80-6,0.053
67-56-1,123-75-1,0.0
67-56-1,106-47-8,0.0
67-56-1,75-31-0,0.125
67-56-1,143-33-9,0.0
67-56-1,371-40-4,0.0
67-56-1,134-32-7,0.0
67-56-1,5720-07-0,0.083
67-56-1,765-30-0,0.0
67-56-1,4637-24-5,0.071
67-56-1,1765-93-1,0.045
67-56-1,91-59-8,0.0
67-56-1,149-73-5,0.1
67-56-1,1679-18-1,0.045
67-56-1,2450-71-7,0.0
67-56-1,128796-39-4,0.04
67-56-1,32316-92-0,0.032
67-56-1,1692-25-7,0.042
67-56-1,13922-41-3,0.065
67-56-1,1692-15-5,0.048
67-56-1,540-38-5,0.056
67-56-1,5720-06-9,0.077
67-56-1,87199-17-5,0.04
67-56-1,6165-68-0,0.045
67-56-1,6165-69-1,0.045
67-56-1,63503-60-6,0.038
67-56-1,873-73-4,0.0
67-56-1,5122-94-1,0.036
67-56-1,123324-71-0,0.083
67-56-1,5467-74-3,0.045
67-56-1,30418-59-8,0.038
67-56-1,329-15-7,0.037
67-56-1,645-45-4,0.034
67-56-1,3900-89-8,0.087
67-56-1,13331-27-6,0.03
67-56-1,1423-26-3,0.032
67-56-1,533-58-4,0.05
67-56-1,102-96-5,0.0
67-56-1,14047-29-1,0.04
67-56-1,54060-30-9,0.0
67-56-1,144025-03-6,0.077
67-56-1,98437-24-2,0.03
67-56-1,5122-95-2,0.03
67-56-1,98546-51-1,0.083
67-56-1,73852-19-4,0.04
67-56-1,87199-16-4,0.032
67-56-1,283173-50-2,0.015
67-56-1,3179-10-0,0.029
67-56-1,144432-85-9,0.034
67-56-1,144104-59-6,0.029
67-56-1,57848-46-1,0.0
67-56-1,78887-39-5,0.057
67-56-1,135884-31-0,0.053
67-56-1,3757-88-8,0.027
67-56-1,168618-42-6,0.12
67-56-1,89694-48-4,0.065
