node1,node2,similarity
124-07-2,497871-61-1,0.025
124-07-2,497871-60-0,0.025
124-07-2,497871-59-7,0.04
124-07-2,497871-58-6,0.025
124-07-2,497871-57-5,0.025
124-07-2,497871-56-4,0.025
124-07-2,497871-55-3,0.025
124-07-2,497871-54-2,0.025
124-07-2,497871-53-1,0.04
124-07-2,497871-52-0,0.025
124-07-2,497871-51-9,0.025
124-07-2,497871-50-8,0.025
124-07-2,497871-49-5,0.035
124-07-2,497871-48-4,0.035
124-07-2,497871-46-2,0.029
124-07-2,497871-45-1,0.029
124-07-2,497871-44-0,0.029
124-07-2,497871-43-9,0.023
124-07-2,497871-42-8,0.023
124-07-2,497871-41-7,0.048
124-07-2,497871-40-6,0.025
124-07-2,497871-39-3,0.025
124-07-2,497871-38-2,0.024
124-07-2,497871-37-1,0.024
124-07-2,497871-36-0,0.039
124-07-2,497871-35-9,0.025
124-07-2,497871-34-8,0.025
124-07-2,497871-33-7,0.025
124-07-2,497871-31-5,0.024
124-07-2,497871-30-4,0.024
124-07-2,497871-28-0,0.038
124-07-2,497871-25-7,0.024
124-07-2,497871-20-2,0.025
124-07-2,497871-18-8,0.025
124-07-2,497871-15-5,0.034
124-07-2,497871-13-3,0.034
407-25-0,61-54-1,0.0
407-25-0,141-75-3,0.115
407-25-0,625-36-5,0.12
407-25-0,2937-50-0,0.138
407-25-0,608-07-1,0.018
407-25-0,17082-09-6,0.077
407-25-0,61-49-4,0.0
407-25-0,375-16-6,0.231
407-25-0,299-26-3,0.0
407-25-0,5130-24-5,0.154
407-25-0,304-52-9,0.018
407-25-0,1821-47-2,0.0
407-25-0,3610-36-4,0.018
407-25-0,1134-01-6,0.018
407-25-0,576-16-9,0.019
407-25-0,20776-45-8,0.015
407-25-0,14490-05-2,0.0
407-25-0,575-85-9,0.019
407-25-0,497871-47-3,0.026
407-25-0,712-08-3,0.018
407-25-0,31677-75-5,0.015
407-25-0,308359-33-3,0.033
407-25-0,144285-85-8,0.027
407-25-0,497871-10-0,0.025
407-25-0,497924-35-3,0.026
407-25-0,497924-37-5,0.02
407-25-0,497871-86-0,0.025
407-25-0,497871-85-9,0.025
407-25-0,497871-84-8,0.032
407-25-0,497871-83-7,0.032
407-25-0,497871-82-6,0.025
407-25-0,497871-81-5,0.026
407-25-0,497871-80-4,0.052
407-25-0,497871-79-1,0.024
407-25-0,497871-78-0,0.025
407-25-0,497871-77-9,0.025
407-25-0,497871-76-8,0.031
407-25-0,497871-75-7,0.031
407-25-0,497871-74-6,0.065
407-25-0,497871-73-5,0.025
407-25-0,497871-72-4,0.024
407-25-0,497871-71-3,0.025
407-25-0,497871-70-2,0.025
407-25-0,497871-69-9,0.05
407-25-0,497871-68-8,0.025
407-25-0,497871-67-7,0.025
407-25-0,497871-66-6,0.025
407-25-0,497871-65-5,0.031
407-25-0,497871-64-4,0.025
407-25-0,497871-63-3,0.027
407-25-0,497871-62-2,0.027
407-25-0,497871-61-1,0.033
407-25-0,497871-60-0,0.033
407-25-0,497871-59-7,0.028
407-25-0,497871-58-6,0.027
407-25-0,497871-57-5,0.027
407-25-0,497871-56-4,0.027
407-25-0,497871-55-3,0.033
407-25-0,497871-54-2,0.026
407-25-0,497871-53-1,0.027
407-25-0,497871-52-0,0.033
407-25-0,497871-51-9,0.027
407-25-0,497871-50-8,0.026
407-25-0,497871-49-5,0.024
407-25-0,497871-48-4,0.024
407-25-0,497871-46-2,0.024
407-25-0,497871-45-1,0.024
407-25-0,497871-44-0,0.024
407-25-0,497871-43-9,0.024
407-25-0,497871-42-8,0.03
407-25-0,497871-41-7,0.024
407-25-0,497871-40-6,0.026
407-25-0,497871-39-3,0.026
407-25-0,497871-38-2,0.032
407-25-0,497871-37-1,0.032
407-25-0,497871-36-0,0.027
407-25-0,497871-35-9,0.026
407-25-0,497871-34-8,0.026
407-25-0,497871-33-7,0.026
407-25-0,497871-31-5,0.032
407-25-0,497871-30-4,0.025
407-25-0,497871-28-0,0.026
407-25-0,497871-25-7,0.032
407-25-0,497871-20-2,0.026
407-25-0,497871-18-8,0.026
407-25-0,497871-15-5,0.023
407-25-0,497871-13-3,0.024
61-54-1,141-75-3,0.043
61-54-1,625-36-5,0.022
61-54-1,2937-50-0,0.02
61-54-1,608-07-1,0.434
61-54-1,17082-09-6,0.089
61-54-1,61-49-4,0.622
61-54-1,375-16-6,0.0
61-54-1,299-26-3,0.532
