node1,node2,similarity
98-59-9,183322-07-8,0.073
98-59-9,183322-05-6,0.09
98-59-9,183322-04-5,0.09
98-59-9,183322-03-4,0.075
98-59-9,183322-02-3,0.063
98-59-9,183322-01-2,0.075
98-59-9,183321-93-9,0.089
98-59-9,183321-90-6,0.073
98-59-9,183321-88-2,0.058
98-59-9,183321-87-1,0.059
98-59-9,183321-81-5,0.071
98-59-9,183321-80-4,0.084
98-59-9,183321-79-1,0.08
98-59-9,183321-75-7,0.081
98-59-9,183321-72-4,0.087
98-59-9,183321-70-2,0.062
98-59-9,183321-69-9,0.096
98-59-9,183321-68-8,0.215
98-59-9,183321-66-6,0.093
98-59-9,183321-54-2,0.083
98-59-9,183319-75-7,0.077
98-59-9,183319-40-6,0.118
98-59-9,183319-36-0,0.092
98-59-9,183322-50-1,0.189
98-59-9,183321-91-7,0.076
98-59-9,183322-20-5,0.075
98-59-9,183321-77-9,0.076
98-59-9,183322-59-0,0.085
98-59-9,183322-37-4,0.065
98-59-9,183322-25-0,0.08
98-59-9,183322-15-8,0.075
98-59-9,183322-14-7,0.078
98-59-9,183322-11-4,0.091
98-59-9,183322-09-0,0.08
98-59-9,183321-63-3,0.074
98-59-9,183321-26-8,0.067
98-59-9,183321-14-4,0.079
98-59-9,183321-00-8,0.082
98-59-9,117324-42-2,0.1
98-59-9,183322-39-6,0.069
98-59-9,183322-36-3,0.058
98-59-9,183322-35-2,0.058
98-59-9,183322-28-3,0.122
98-59-9,183322-26-1,0.143
98-59-9,183322-21-6,0.068
98-59-9,183320-80-1,0.067
98-59-9,183322-22-7,0.086
98-59-9,183321-50-8,0.091
98-59-9,183321-49-5,0.08
98-59-9,183321-48-4,0.091
98-59-9,183321-47-3,0.083
98-59-9,183321-46-2,0.06
98-59-9,183321-45-1,0.07
98-59-9,183321-44-0,0.088
98-59-9,183321-43-9,0.06
98-59-9,183321-42-8,0.069
98-59-9,183321-41-7,0.132
98-59-9,183321-40-6,0.068
98-59-9,183321-39-3,0.07
98-59-9,183321-38-2,0.081
98-59-9,183321-37-1,0.069
98-59-9,183321-36-0,0.058
98-59-9,183321-35-9,0.143
98-59-9,183321-34-8,0.135
98-59-9,183321-33-7,0.078
98-59-9,183321-32-6,0.069
98-59-9,183321-31-5,0.065
98-59-9,183321-30-4,0.08
98-59-9,183321-29-1,0.063
98-59-9,183321-28-0,0.053
98-59-9,183321-27-9,0.068
98-59-9,183321-25-7,0.079
98-59-9,183321-24-6,0.101
98-59-9,183321-23-5,0.072
98-59-9,183321-22-4,0.067
98-59-9,183321-20-2,0.079
98-59-9,183321-18-8,0.07
98-59-9,183321-16-6,0.069
98-59-9,183321-12-2,0.06
98-59-9,183321-11-1,0.063
98-59-9,183321-10-0,0.076
98-59-9,183321-08-6,0.056
98-59-9,183321-06-4,0.067
98-59-9,183321-04-2,0.077
98-59-9,183321-02-0,0.067
98-59-9,183319-69-9,0.071
98-59-9,183320-51-6,0.066
98-59-9,183322-45-4,0.085
98-59-9,183322-24-9,0.088
98-59-9,183322-17-0,0.079
98-59-9,183365-34-6,0.066
98-59-9,183320-04-9,0.078
98-59-9,183320-12-9,0.06
98-59-9,183319-26-8,0.079
98-59-9,153437-54-8,0.085
98-59-9,183322-30-7,0.083
98-59-9,183322-43-2,0.055
98-59-9,183322-41-0,0.09
98-59-9,183322-29-4,0.087
98-59-9,183322-27-2,0.099
98-59-9,183321-61-1,0.069
98-59-9,183321-59-7,0.078
98-59-9,183321-58-6,0.1
98-59-9,183321-57-5,0.071
98-59-9,183321-56-4,0.074
98-59-9,183321-55-3,0.059
98-59-9,183321-53-1,0.078
98-59-9,183321-52-0,0.075
98-59-9,183321-51-9,0.072
98-59-9,183320-98-1,0.078
98-59-9,183320-95-8,0.068
98-59-9,183320-91-4,0.068
98-59-9,183320-88-9,0.068
98-59-9,183320-84-5,0.065
98-59-9,183320-69-6,0.069
98-59-9,183320-66-3,0.068
98-59-9,183320-62-9,0.127
98-59-9,183320-59-4,0.087
98-59-9,183320-54-9,0.076
98-59-9,183320-47-0,0.058
98-59-9,183320-43-6,0.058
98-59-9,183320-38-9,0.058
98-59-9,183320-34-5,0.058
98-59-9,183320-19-6,0.078
98-59-9,183320-00-5,0.073
98-59-9,183319-96-2,0.083
98-59-9,183319-92-8,0.07
98-59-9,183319-88-2,0.079
98-59-9,183319-84-8,0.077
98-59-9,183319-80-4,0.075
98-59-9,183319-78-0,0.149
98-59-9,183319-66-6,0.086
98-59-9,183319-63-3,0.086
98-59-9,183319-60-0,0.078
98-59-9,183319-54-2,0.062
98-59-9,183319-51-9,0.095
98-59-9,183319-48-4,0.212
98-59-9,183319-46-2,0.09
98-59-9,183319-44-0,0.092
98-59-9,183319-42-8,0.063
98-59-9,183319-32-6,0.09
98-59-9,183319-30-4,0.073
98-59-9,183319-28-0,0.073
98-59-9,183319-24-6,0.08
98-59-9,183322-31-8,0.072
288-32-4,109-01-3,0.074
288-32-4,108-45-2,0.037
288-32-4,183321-74-6,0.025
288-32-4,540-37-4,0.034
288-32-4,6482-24-2,0.0
288-32-4,79-42-5,0.0
288-32-4,585-79-5,0.026
288-32-4,54060-30-9,0.027
288-32-4,3943-89-3,0.022
288-32-4,108-96-3,0.16
288-32-4,13790-39-1,0.042
288-32-4,55289-36-6,0.028
288-32-4,656-64-4,0.028
288-32-4,14860-64-1,0.027
288-32-4,60956-26-5,0.049
288-32-4,4403-36-5,0.044
288-32-4,19815-16-8,0.038
288-32-4,183322-18-1,0.036
288-32-4,179688-29-0,0.071
288-32-4,33786-89-9,0.034
288-32-4,19181-53-4,0.085
288-32-4,53449-14-2,0.078
288-32-4,19181-64-7,0.08
288-32-4,55496-52-1,0.04
288-32-4,183321-86-0,0.023
288-32-4,19815-17-9,0.038
288-32-4,183321-62-2,0.028
288-32-4,179688-26-7,0.016
288-32-4,183322-16-9,0.017
288-32-4,183322-33-0,0.04
288-32-4,77123-60-5,0.025
288-32-4,72700-23-3,0.039
288-32-4,183319-38-2,0.029
288-32-4,183320-29-8,0.023
288-32-4,183321-64-4,0.027
288-32-4,179246-15-2,0.078
288-32-4,183321-84-8,0.026
288-32-4,183322-47-6,0.036
288-32-4,183321-67-7,0.027
288-32-4,183321-13-3,0.029
288-32-4,183319-57-5,0.029
288-32-4,183321-83-7,0.023
288-32-4,183321-71-3,0.028
288-32-4,152536-17-9,0.036
288-32-4,77123-63-8,0.043
288-32-4,183321-78-0,0.027
288-32-4,183320-24-3,0.022
288-32-4,183321-82-6,0.026
288-32-4,183321-65-5,0.027
288-32-4,183321-60-0,0.025
288-32-4,183320-15-2,0.022
288-32-4,183322-34-1,0.021
288-32-4,183321-85-9,0.023
288-32-4,183320-72-1,0.024
288-32-4,183322-38-5,0.024
288-32-4,183321-89-3,0.027
288-32-4,183321-76-8,0.027
288-32-4,183320-08-3,0.024
288-32-4,183322-53-4,0.025
288-32-4,183322-32-9,0.025
288-32-4,183321-73-5,0.026
288-32-4,183319-72-4,0.027
288-32-4,183319-34-8,0.03
288-32-4,183322-19-2,0.032
288-32-4,183322-13-6,0.023
288-32-4,183322-12-5,0.023
288-32-4,183322-10-3,0.023
288-32-4,183322-08-9,0.024
288-32-4,183322-07-8,0.026
288-32-4,183322-05-6,0.027
288-32-4,183322-04-5,0.027
288-32-4,183322-03-4,0.026
288-32-4,183322-02-3,0.027
288-32-4,183322-01-2,0.026
288-32-4,183321-93-9,0.026
288-32-4,183321-90-6,0.026
288-32-4,183321-88-2,0.031
288-32-4,183321-87-1,0.031
288-32-4,183321-81-5,0.025
288-32-4,183321-80-4,0.025
288-32-4,183321-79-1,0.028
288-32-4,183321-75-7,0.029
288-32-4,183321-72-4,0.026
288-32-4,183321-70-2,0.027
288-32-4,183321-69-9,0.033
288-32-4,183321-68-8,0.023
288-32-4,183321-66-6,0.028
288-32-4,183321-54-2,0.025
288-32-4,183319-75-7,0.041
288-32-4,183319-40-6,0.027
288-32-4,183319-36-0,0.027
288-32-4,183322-50-1,0.078
288-32-4,183321-91-7,0.027
288-32-4,183322-20-5,0.032
288-32-4,183321-77-9,0.027
288-32-4,183322-59-0,0.098
288-32-4,183322-37-4,0.023
288-32-4,183322-25-0,0.028
288-32-4,183322-15-8,0.022
288-32-4,183322-14-7,0.023
288-32-4,183322-11-4,0.023
288-32-4,183322-09-0,0.024
288-32-4,183321-63-3,0.026
288-32-4,183321-26-8,0.029
288-32-4,183321-14-4,0.028
288-32-4,183321-00-8,0.044
288-32-4,117324-42-2,0.074
288-32-4,183322-39-6,0.031
288-32-4,183322-36-3,0.052
288-32-4,183322-35-2,0.052
288-32-4,183322-28-3,0.044
288-32-4,183322-26-1,0.043
288-32-4,183322-21-6,0.038
288-32-4,183320-80-1,0.023
288-32-4,183322-22-7,0.022
288-32-4,183321-50-8,0.027
288-32-4,183321-49-5,0.036
288-32-4,183321-48-4,0.027
288-32-4,183321-47-3,0.037
288-32-4,183321-46-2,0.025
288-32-4,183321-45-1,0.024
288-32-4,183321-44-0,0.022
288-32-4,183321-43-9,0.026
288-32-4,183321-42-8,0.024
288-32-4,183321-41-7,0.04
288-32-4,183321-40-6,0.024
288-32-4,183321-39-3,0.024
288-32-4,183321-38-2,0.024
288-32-4,183321-37-1,0.024
288-32-4,183321-36-0,0.025
288-32-4,183321-35-9,0.023
288-32-4,183321-34-8,0.022
288-32-4,183321-33-7,0.023
288-32-4,183321-32-6,0.024
288-32-4,183321-31-5,0.023
288-32-4,183321-30-4,0.024
288-32-4,183321-29-1,0.022
288-32-4,183321-28-0,0.022
288-32-4,183321-27-9,0.024
288-32-4,183321-25-7,0.028
288-32-4,183321-24-6,0.039
288-32-4,183321-23-5,0.025
288-32-4,183321-22-4,0.023
288-32-4,183321-20-2,0.023
288-32-4,183321-18-8,0.024
288-32-4,183321-16-6,0.024
288-32-4,183321-12-2,0.026
288-32-4,183321-11-1,0.022
288-32-4,183321-10-0,0.027
288-32-4,183321-08-6,0.024
288-32-4,183321-06-4,0.024
288-32-4,183321-04-2,0.027
288-32-4,183321-02-0,0.023
288-32-4,183319-69-9,0.025
288-32-4,183320-51-6,0.023
288-32-4,183322-45-4,0.03
288-32-4,183322-24-9,0.031
288-32-4,183322-17-0,0.017
288-32-4,183365-34-6,0.023
288-32-4,183320-04-9,0.023
288-32-4,183320-12-9,0.026
288-32-4,183319-26-8,0.028
288-32-4,153437-54-8,0.03
288-32-4,183322-30-7,0.045
288-32-4,183322-43-2,0.023
288-32-4,183322-41-0,0.023
288-32-4,183322-29-4,0.026
288-32-4,183322-27-2,0.025
288-32-4,183321-61-1,0.02
288-32-4,183321-59-7,0.027
288-32-4,183321-58-6,0.026
288-32-4,183321-57-5,0.025
288-32-4,183321-56-4,0.026
288-32-4,183321-55-3,0.025
288-32-4,183321-53-1,0.023
288-32-4,183321-52-0,0.026
288-32-4,183321-51-9,0.025
288-32-4,183320-98-1,0.027
288-32-4,183320-95-8,0.03
288-32-4,183320-91-4,0.03
288-32-4,183320-88-9,0.024
288-32-4,183320-84-5,0.022
288-32-4,183320-69-6,0.02
288-32-4,183320-66-3,0.02
288-32-4,183320-62-9,0.029
288-32-4,183320-59-4,0.026
288-32-4,183320-54-9,0.027
288-32-4,183320-47-0,0.03
288-32-4,183320-43-6,0.052
288-32-4,183320-38-9,0.052
288-32-4,183320-34-5,0.031
288-32-4,183320-19-6,0.023
288-32-4,183320-00-5,0.026
288-32-4,183319-96-2,0.025
288-32-4,183319-92-8,0.024
288-32-4,183319-88-2,0.028
288-32-4,183319-84-8,0.027
288-32-4,183319-80-4,0.026
288-32-4,183319-78-0,0.027
288-32-4,183319-66-6,0.026
288-32-4,183319-63-3,0.026
288-32-4,183319-60-0,0.027
288-32-4,183319-54-2,0.026
288-32-4,183319-51-9,0.032
288-32-4,183319-48-4,0.023
288-32-4,183319-46-2,0.027
288-32-4,183319-44-0,0.027
288-32-4,183319-42-8,0.027
288-32-4,183319-32-6,0.027
288-32-4,183319-30-4,0.026
288-32-4,183319-28-0,0.026
288-32-4,183319-24-6,0.028
288-32-4,183322-31-8,0.025
109-01-3,108-45-2,0.0
109-01-3,183321-74-6,0.012
109-01-3,540-37-4,0.0
109-01-3,6482-24-2,0.038
109-01-3,79-42-5,0.038
109-01-3,585-79-5,0.0
109-01-3,54060-30-9,0.0
109-01-3,3943-89-3,0.021
109-01-3,108-96-3,0.071
109-01-3,13790-39-1,0.02
109-01-3,55289-36-6,0.027
109-01-3,656-64-4,0.027
109-01-3,14860-64-1,0.0
109-01-3,60956-26-5,0.048
109-01-3,4403-36-5,0.043
109-01-3,19815-16-8,0.0
109-01-3,183322-18-1,0.017
109-01-3,179688-29-0,0.034
109-01-3,33786-89-9,0.0
109-01-3,19181-53-4,0.04
109-01-3,53449-14-2,0.018
109-01-3,19181-64-7,0.038
109-01-3,55496-52-1,0.019
109-01-3,183321-86-0,0.011
109-01-3,19815-17-9,0.0
109-01-3,183321-62-2,0.014
109-01-3,179688-26-7,0.016
109-01-3,183322-16-9,0.017
109-01-3,183322-33-0,0.019
109-01-3,77123-60-5,0.0
109-01-3,72700-23-3,0.019
109-01-3,183319-38-2,0.0
109-01-3,183320-29-8,0.011
109-01-3,183321-64-4,0.0
109-01-3,179246-15-2,0.037
109-01-3,183321-84-8,0.0
109-01-3,183322-47-6,0.017
109-01-3,183321-67-7,0.0
109-01-3,183321-13-3,0.0
109-01-3,183319-57-5,0.0
109-01-3,183321-83-7,0.011
109-01-3,183321-71-3,0.014
109-01-3,152536-17-9,0.017
109-01-3,77123-63-8,0.02
109-01-3,183321-78-0,0.013
109-01-3,183320-24-3,0.011
109-01-3,183321-82-6,0.0
109-01-3,183321-65-5,0.013
109-01-3,183321-60-0,0.012
109-01-3,183320-15-2,0.011
109-01-3,183322-34-1,0.021
109-01-3,183321-85-9,0.011
109-01-3,183320-72-1,0.012
109-01-3,183322-38-5,0.012
109-01-3,183321-89-3,0.013
109-01-3,183321-76-8,0.013
109-01-3,183320-08-3,0.011
109-01-3,183322-53-4,0.05
109-01-3,183322-32-9,0.024
109-01-3,183321-73-5,0.013
109-01-3,183319-72-4,0.013
109-01-3,183319-34-8,0.015
109-01-3,183322-19-2,0.016
109-01-3,183322-13-6,0.011
109-01-3,183322-12-5,0.011
109-01-3,183322-10-3,0.011
109-01-3,183322-08-9,0.012
109-01-3,183322-07-8,0.013
109-01-3,183322-05-6,0.026
109-01-3,183322-04-5,0.026
109-01-3,183322-03-4,0.013
109-01-3,183322-02-3,0.027
109-01-3,183322-01-2,0.013
109-01-3,183321-93-9,0.026
109-01-3,183321-90-6,0.013
109-01-3,183321-88-2,0.052
109-01-3,183321-87-1,0.074
109-01-3,183321-81-5,0.012
109-01-3,183321-80-4,0.025
109-01-3,183321-79-1,0.014
109-01-3,183321-75-7,0.014
109-01-3,183321-72-4,0.013
109-01-3,183321-70-2,0.0
109-01-3,183321-69-9,0.021
