node1,node2,similarity
755037-03-7,284461-64-9,0.227
755037-03-7,284461-58-1,0.333
755037-03-7,284461-51-4,0.495
755037-03-7,284461-48-9,0.5
755037-03-7,284461-45-6,0.364
755037-03-7,284461-43-4,0.351
755037-03-7,284461-42-3,0.472
755037-03-7,284461-33-2,0.257
755037-03-7,284462-35-7,0.436
755037-03-7,284462-25-5,0.352
755037-03-7,284462-23-3,0.48
755037-03-7,284462-01-7,0.485
755037-03-7,284461-78-5,0.791
755037-03-7,284461-69-4,0.244
755037-03-7,284461-60-5,0.322
755037-03-7,284461-54-7,0.256
755037-03-7,284461-53-6,0.252
755037-03-7,284461-47-8,0.467
755037-03-7,284462-34-6,0.246
755037-03-7,284462-16-4,0.358
755037-03-7,284462-13-1,0.388
755037-03-7,284462-09-5,0.404
755037-03-7,284462-08-4,0.341
755037-03-7,284462-05-1,0.374
755037-03-7,284462-00-6,0.406
755037-03-7,284461-98-9,0.596
755037-03-7,284461-95-6,0.35
755037-03-7,284461-92-3,0.412
755037-03-7,284461-90-1,0.4
755037-03-7,284461-89-8,0.362
755037-03-7,284461-85-4,0.439
755037-03-7,284461-84-3,0.438
755037-03-7,284461-83-2,0.656
755037-03-7,284461-81-0,0.641
755037-03-7,284461-79-6,0.433
755037-03-7,284461-77-4,0.413
755037-03-7,284461-67-2,0.254
755037-03-7,284461-66-1,0.22
755037-03-7,284461-61-6,0.396
755037-03-7,284461-59-2,0.244
755037-03-7,284461-57-0,0.246
755037-03-7,284461-56-9,0.258
755037-03-7,284461-52-5,0.257
755037-03-7,284461-49-0,0.336
755037-03-7,284461-46-7,0.31
755037-03-7,284461-41-2,0.25
755037-03-7,284461-40-1,0.242
755037-03-7,284461-39-8,0.23
755037-03-7,284461-38-7,0.228
755037-03-7,284461-37-6,0.278
755037-03-7,284461-36-5,0.261
755037-03-7,284461-35-4,0.256
755037-03-7,284461-34-3,0.207
755037-03-7,284461-96-7,0.346
755037-03-7,284461-71-8,0.224
755037-03-7,284462-70-0,0.328
755037-03-7,284461-99-0,0.381
755037-03-7,284462-36-8,0.245
755037-03-7,284462-06-2,0.519
755037-03-7,284461-86-5,0.436
755037-03-7,284462-33-5,0.405
755037-03-7,176977-85-8,0.207
755037-03-7,51727-15-2,0.167
320-51-4,327-78-6,0.378
320-51-4,349-65-5,0.213
320-51-4,284462-37-9,0.123
320-51-4,99586-65-9,0.146
320-51-4,284461-74-1,0.234
320-51-4,284462-80-2,0.133
320-51-4,284462-18-6,0.115
320-51-4,284461-44-5,0.085
320-51-4,284461-76-3,0.202
320-51-4,284462-02-8,0.168
320-51-4,284461-82-1,0.202
320-51-4,284462-32-4,0.149
320-51-4,284462-28-8,0.154
320-51-4,284462-17-5,0.2
320-51-4,284461-72-9,0.212
320-51-4,228418-48-2,0.086
320-51-4,284462-29-9,0.165
320-51-4,284462-24-4,0.114
320-51-4,284462-22-2,0.11
320-51-4,284462-20-0,0.144
320-51-4,284462-19-7,0.152
320-51-4,284462-07-3,0.187
320-51-4,284462-04-0,0.207
320-51-4,284461-97-8,0.215
320-51-4,284461-94-5,0.172
320-51-4,284461-93-4,0.168
320-51-4,284461-91-2,0.21
320-51-4,284461-88-7,0.218
