node1,node2,similarity
56-65-5,121032-37-9,0.357
56-65-5,121032-36-8,0.367
56-65-5,121032-35-7,0.37
56-65-5,121032-34-6,0.37
56-65-5,121032-33-5,0.412
56-65-5,121032-32-4,0.367
56-65-5,121032-31-3,0.374
56-65-5,121032-27-7,0.347
56-65-5,121032-26-6,0.277
56-65-5,121032-25-5,0.312
56-65-5,121032-24-4,0.378
56-65-5,121032-21-1,0.393
56-65-5,121032-20-0,0.37
56-65-5,121032-64-2,0.193
56-65-5,121032-63-1,0.186
56-65-5,121032-62-0,0.186
56-65-5,121032-60-8,0.259
56-65-5,121032-59-5,0.256
56-65-5,121032-56-2,0.522
56-65-5,121032-54-0,0.246
56-65-5,121032-50-6,0.28
56-65-5,121032-49-3,0.276
56-65-5,1863-63-4,0.047
56-65-5,50859-18-2,0.115
108-24-7,98-88-4,0.115
108-24-7,74-89-5,0.083
108-24-7,98-59-9,0.067
108-24-7,75-36-5,0.385
108-24-7,124-63-0,0.125
108-24-7,10025-87-3,0.067
108-24-7,3282-30-2,0.235
108-24-7,79-03-8,0.312
108-24-7,765-30-0,0.0
108-24-7,122-04-3,0.091
108-24-7,100-07-2,0.167
108-24-7,122-01-0,0.107
108-24-7,103-80-0,0.097
108-24-7,79-30-1,0.235
108-24-7,874-60-2,0.143
108-24-7,141-75-3,0.2
108-24-7,106-31-0,0.273
108-24-7,638-29-9,0.174
108-24-7,624-78-2,0.059
108-24-7,97-72-3,0.316
108-24-7,38870-89-2,0.25
108-24-7,118-48-9,0.024
108-24-7,87-42-3,0.0
108-24-7,701-99-5,0.118
108-24-7,10310-21-1,0.023
108-24-7,1538-75-6,0.316
108-24-7,20535-83-5,0.044
108-24-7,2082-59-9,0.24
108-24-7,3083-77-0,0.038
108-24-7,69304-37-6,0.087
108-24-7,938-55-6,0.023
108-24-7,121032-29-9,0.046
108-24-7,1074-89-1,0.073
108-24-7,2545-26-8,0.0
108-24-7,19690-23-4,0.0
108-24-7,892-49-9,0.016
108-24-7,17861-06-2,0.068
108-24-7,91969-06-1,0.066
108-24-7,1928-89-8,0.0
108-24-7,117761-02-1,0.0
108-24-7,5417-86-7,0.064
108-24-7,60209-41-8,0.032
108-24-7,7770-17-4,0.032
108-24-7,25050-40-2,0.012
108-24-7,121032-22-2,0.077
108-24-7,121057-95-2,0.021
108-24-7,121032-46-0,0.114
108-24-7,121032-28-8,0.03
108-24-7,121032-23-3,0.063
108-24-7,121032-57-3,0.072
108-24-7,121032-30-2,0.061
108-24-7,91275-67-1,0.015
108-24-7,121032-61-9,0.022
108-24-7,121032-58-4,0.063
108-24-7,121032-55-1,0.071
108-24-7,121032-53-9,0.073
108-24-7,121032-52-8,0.074
108-24-7,121032-51-7,0.074
108-24-7,121032-48-2,0.083
108-24-7,121032-47-1,0.08
108-24-7,121032-45-9,0.082
108-24-7,121032-44-8,0.085
