node1,node2,similarity
75-16-1,219989-92-1,0.011
75-16-1,219989-85-2,0.011
75-16-1,219989-77-2,0.011
75-16-1,219989-74-9,0.011
75-16-1,219990-05-3,0.011
75-16-1,219990-14-4,0.021
75-16-1,219990-12-2,0.025
75-16-1,219990-13-3,0.016
75-16-1,302897-15-0,0.011
75-16-1,302897-14-9,0.01
75-16-1,219990-29-1,0.01
75-16-1,219990-16-6,0.01
75-16-1,219990-15-5,0.01
75-16-1,219990-11-1,0.018
75-16-1,219990-08-6,0.023
75-16-1,219990-07-5,0.01
75-16-1,219990-06-4,0.011
75-16-1,219990-35-9,0.008
75-16-1,219990-32-6,0.01
75-16-1,219990-21-3,0.011
75-16-1,219990-18-8,0.01
75-16-1,219990-10-0,0.024
75-16-1,219990-09-7,0.023
79-03-8,58479-61-1,0.061
79-03-8,69739-34-0,0.061
79-03-8,1730-25-2,0.043
79-03-8,1119-51-3,0.04
79-03-8,1117-97-1,0.056
79-03-8,152044-54-7,0.043
79-03-8,219989-84-1,0.042
79-03-8,152044-53-6,0.044
79-03-8,16338-48-0,0.148
79-03-8,2403-55-6,0.061
79-03-8,186692-73-9,0.033
79-03-8,90600-20-7,0.122
79-03-8,192060-67-6,0.167
79-03-8,208518-52-9,0.052
79-03-8,106921-60-2,0.304
79-03-8,219990-27-9,0.042
79-03-8,184917-63-3,0.091
79-03-8,184246-51-3,0.062
79-03-8,219989-87-4,0.033
79-03-8,193071-52-2,0.091
79-03-8,208521-14-6,0.102
79-03-8,219990-25-7,0.052
79-03-8,219990-23-5,0.06
79-03-8,187283-47-2,0.079
79-03-8,219989-88-5,0.033
79-03-8,219989-92-1,0.033
79-03-8,219989-85-2,0.043
79-03-8,219989-77-2,0.032
79-03-8,219989-74-9,0.045
79-03-8,219990-05-3,0.042
79-03-8,219990-14-4,0.06
79-03-8,219990-12-2,0.122
79-03-8,219990-13-3,0.079
79-03-8,302897-15-0,0.054
79-03-8,302897-14-9,0.062
79-03-8,219990-29-1,0.058
79-03-8,219990-16-6,0.029
79-03-8,219990-15-5,0.051
79-03-8,219990-11-1,0.086
79-03-8,219990-08-6,0.163
79-03-8,219990-07-5,0.052
79-03-8,219990-06-4,0.033
79-03-8,219990-35-9,0.042
79-03-8,219990-32-6,0.051
79-03-8,219990-21-3,0.052
79-03-8,219990-18-8,0.06
79-03-8,219990-10-0,0.171
79-03-8,219990-09-7,0.167
58479-61-1,69739-34-0,0.143
58479-61-1,1730-25-2,0.0
58479-61-1,1119-51-3,0.0
58479-61-1,1117-97-1,0.032
58479-61-1,152044-54-7,0.038
58479-61-1,219989-84-1,0.037
58479-61-1,152044-53-6,0.038
